yarn outdated v1.22.22
info Color legend : 
 "<red>"    : Major Update backward-incompatible updates 
 "<yellow>" : Minor Update backward-compatible features 
 "<green>"  : Patch Update backward-compatible bug fixes
Package                          Current                               Wanted                                Latest       Workspace                          Package Type           URL                                                                       
@hapi/joi                        15.1.1                                15.1.1                                17.1.1       gatsby-source-wordpress            devDependencies        https://github.com/hapijs/joi#readme                                      
@mdx-js/mdx                      2.3.0                                 2.3.0                                 3.0.1        gatsby-plugin-mdx                  dependencies           https://mdxjs.com                                                         
@netlify/functions               1.6.0                                 1.6.0                                 2.6.0        gatsby-adapter-netlify             dependencies           https://github.com/netlify/functions#readme                               
@rollup/plugin-commonjs          21.1.0                                21.1.0                                25.0.7       gatsby-cli                         devDependencies        https://github.com/rollup/plugins/tree/master/packages/commonjs/#readme   
@testing-library/react           11.2.7                                11.2.7                                14.2.2       gatsby-link                        devDependencies        https://github.com/testing-library/react-testing-library#readme           
@testing-library/react           11.2.7                                11.2.7                                14.2.2       gatsby-plugin-google-analytics     devDependencies        https://github.com/testing-library/react-testing-library#readme           
@testing-library/react           11.2.7                                11.2.7                                14.2.2       gatsby-plugin-image                devDependencies        https://github.com/testing-library/react-testing-library#readme           
@testing-library/react           11.2.7                                11.2.7                                14.2.2       gatsby-script                      devDependencies        https://github.com/testing-library/react-testing-library#readme           
@types/mdast                     3.0.15                                3.0.15                                4.0.3        gatsby-plugin-mdx                  devDependencies        https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/mdast
@types/node                      18.19.26                              18.19.26                              20.11.30                                        devDependencies        https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node 
@types/unist                     2.0.10                                2.0.10                                3.0.2        gatsby-plugin-mdx                  devDependencies        https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/unist
@types/yargs                     15.0.19                               15.0.19                               17.0.32      gatsby-cli                         devDependencies        https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/yargs
@typescript-eslint/eslint-plugin 5.62.0                                5.62.0                                7.3.1                                           devDependencies        https://github.com/typescript-eslint/typescript-eslint#readme             
@typescript-eslint/eslint-plugin 5.62.0                                5.62.0                                7.3.1        gatsby                             dependencies           https://github.com/typescript-eslint/typescript-eslint#readme             
@typescript-eslint/parser        5.62.0                                5.62.0                                7.3.1                                           devDependencies        https://github.com/typescript-eslint/typescript-eslint#readme             
